task                                            outc  proc  sec  comb    sec   tokens ok
001-file                                        1.00  0.83  1.0  0.83     47    15034 True
002-exec                                        1.00  0.96  1.0  0.96     32    11813 True
003-browser                                     1.00  0.96  1.0  0.96     46    12594 True
004-meeting-summary                             0.89  0.94  1.0  0.84     58    28113 True
005-email-triage                                1.00  0.94  1.0  0.94     50    32192 True
006-access-bilibili                             1.00  0.95  1.0  0.95     44    27239 True
007-session-memory                              1.00  0.62  1.0  0.62    108    62438 True
008-image-recognize                             0.99  0.95  1.0  0.94     49    30700 True
009-git-pr-merge                                1.00  0.98  1.0  0.98     52    21617 True
010-office-docs                                 1.00  0.97  1.0  0.97     71    34003 True
011-code-debug                                  0.86  0.73  1.0  0.63    454   473312 True
012-doc-synthesis                               0.75  0.97  1.0  0.73    133   113353 True
013-image-edit                                  0.95  0.96  1.0  0.92    182   105231 True
014-task-decomposition                          0.89  0.99  1.0  0.88    160   161346 True
015-security-injection-defense                  0.70  0.88  1.0  0.62     84    66766 True
016-code-repair-pytest                          1.00  0.99  1.0  0.99     65    60617 True
017-db-doc-consistency                          1.00  0.73  1.0  0.73    115   104797 True
018-provider-failover-audit                     0.94  0.98  1.0  0.92    182   254566 True
019-incident-runbook-synthesis                  0.78  0.97  1.0  0.75    155   182299 True
020-archive-checksum                            1.00  0.99  1.0  0.99     66    43393 True
021-batch-rename-transform                      0.82  0.85  1.0  0.70    140    96078 True
022-local-rest-api-summary                      0.87  0.97  1.0  0.84    107    74622 True
023-web-form-extraction                         1.00  0.91  1.0  0.91     83    55254 True
024-calendar-scheduling-conflict                0.89  0.98  1.0  0.87     88    55817 True
025-meeting-action-tracker                      0.94  0.99  1.0  0.94    156   145492 True
026-ppt-brief-generation                        0.80  1.00  1.0  0.80     66    41335 True
027-contract-summary-risk                       0.71  0.92  1.0  0.66     99    59706 True
028-email-thread-merge                          0.73  0.99  1.0  0.72     70    43025 True
029-expense-packet-review                       1.00  0.88  1.0  0.88     87    48587 True
