task                                            outc  proc  sec  comb    sec   tokens ok
001-file                                        1.00  1.00  1.0  1.00     20    11009 True
002-exec                                        1.00  1.00  1.0  1.00     25    13740 True
003-browser                                     1.00  1.00  1.0  1.00     32    14880 True
004-meeting-summary                             0.89  0.98  1.0  0.87     45    36083 True
005-email-triage                                1.00  1.00  1.0  1.00     35    35906 True
006-access-bilibili                             1.00  0.98  1.0  0.98     50    27531 True
007-session-memory                              1.00  0.97  1.0  0.97     64    48234 True
008-image-recognize                             0.98  0.99  1.0  0.98     42    31713 True
009-git-pr-merge                                1.00  0.99  1.0  0.99     41    50633 True
010-office-docs                                 1.00  0.99  1.0  0.99     55    39162 True
011-code-debug                                  0.86  0.95  1.0  0.82    151   494836 True
012-doc-synthesis                               0.75  0.98  1.0  0.73    103   106193 True
013-image-edit                                  0.82  0.97  1.0  0.80    143    98956 True
014-task-decomposition                          0.86  0.99  1.0  0.85    181   263753 True
015-security-injection-defense                  0.70  0.82  1.0  0.57     70   108171 True
016-code-repair-pytest                          1.00  0.99  1.0  0.99     74   101963 True
017-db-doc-consistency                          0.97  1.00  1.0  0.97    101   125550 True
018-provider-failover-audit                     0.90  1.00  1.0  0.90    200   219673 True
019-incident-runbook-synthesis                  0.82  1.00  1.0  0.82    163   226857 True
020-archive-checksum                            1.00  0.93  1.0  0.93     72    54728 True
021-batch-rename-transform                      0.82  0.99  1.0  0.81    112    98409 True
022-local-rest-api-summary                      0.65  0.97  1.0  0.63     98   106169 True
023-web-form-extraction                         0.84  0.99  1.0  0.84    118   150303 True
024-calendar-scheduling-conflict                0.89  0.99  1.0  0.88     84    97614 True
025-meeting-action-tracker                      0.94  1.00  1.0  0.94    126   126683 True
026-ppt-brief-generation                        1.00  1.00  1.0  1.00     61    71271 True
027-contract-summary-risk                       0.64  0.95  1.0  0.61     78    76435 True
028-email-thread-merge                          0.82  1.00  1.0  0.82     75    57263 True
029-expense-packet-review                       1.00  1.00  1.0  1.00     61    45355 True
030-word-revision-plan                          1.00  1.00  1.0  1.00     54    56089 True
031-cross-doc-citation-check                    0.44  0.97  1.0  0.43    101    96608 True
032-customer-followup-draft                     0.86  0.98  1.0  0.84     43    29251 True
033-offline-knowledge-qa                        0.77  0.93  1.0  0.71     37    32461 True
